id	acc26	acc31	acc56	acc84	acc288	acc85	acc289	deepseq	deepseq1
HM183					1		1		
HM184					1		1		
HM185					1		1	1	1
HM186					1		1		
HM187					1		1		
HM188					1		1		
HM189					1		1		
HM190					1		1		
HM191					1		1		
HM192					1		1		
HM193					1		1		
HM194					1		1		
HM195					1		1		
HM196					1		1		
HM197					1		1	1	1
HM198					1		1		
HM199					1		1		
HM200					1		1		
HM201					1		1	1	1
HM202					1		1		
HM203					1		1		
HM204								1	
HM205					1		1		
HM206					1		1		
HM207					1		1		
HM208					1		1		
HM209					1		1		
HM210					1		1		
HM211					1		1		
HM212					1		1		
HM213					1		1		
HM214					1		1		
HM215					1		1		
HM216					1		1		
HM217					1		1		
HM218					1		1		
HM219					1		1		
HM220					1		1		
HM221					1		1		
HM222					1		1		
HM223					1		1		
HM224					1		1		
HM225					1		1		
HM226					1		1		
HM227					1		1		
HM228					1		1		
HM229					1		1		
HM230					1		1		
HM231					1		1		
HM232					1		1		
HM233					1		1		
HM234					1		1		
HM235					1		1		
HM236					1		1		
HM237					1		1		
HM238					1		1		
HM239					1		1		
HM240					1		1		
HM241					1		1		
HM242					1		1		
HM243					1		1		
HM244					1		1		
HM245					1		1		
HM246					1		1		
HM247					1		1		
HM248					1		1		
HM249					1		1		
HM250					1		1		
HM251					1		1		
HM252					1		1		
HM253					1		1		
HM254					1		1		
HM255					1		1		
HM256					1		1		
HM257					1		1		
HM258					1		1		
HM259					1		1		
HM260					1		1		
HM261					1		1		
HM262					1		1		
HM263									
HM264					1		1		
HM265									
HM266					1		1		
HM267					1		1		
HM268					1		1		
HM269					1		1		
HM270					1		1		
HM271					1		1		
HM272									
HM273					1		1		
HM274					1		1		
HM275					1		1		
HM276					1		1		
HM277					1		1		
HM278					1		1		
HM279					1		1		
HM280					1		1		
HM281									
HM282					1		1		
HM283					1		1		
HM284					1		1		
HM285					1		1		
HM286					1		1		
HM287					1		1		
HM288					1		1		
HM289					1		1		
HM290					1		1		
HM291					1		1		
HM292					1		1		
HM293					1		1		
HM294					1		1		
HM295					1		1		
HM296					1		1		
HM297					1		1		
HM298					1		1		
HM299					1		1		
HM300					1		1		
HM301					1		1		
HM302					1		1		
HM303					1		1		
HM304					1		1		
HM305					1		1		
HM306					1		1		
HM307					1		1		
HM308					1		1		
HM309					1		1		
HM310					1		1		
HM311					1		1		
HM312					1		1		
HM313					1		1		
HM314					1		1		
HM315					1		1		
HM316					1		1		
HM317					1		1		
HM318				1		1			
HM319				1		1			
HM320				1		1			
HM321				1		1			
HM322				1		1			
HM323				1		1			
HM324				1		1		1	
HM325				1		1			
HM326				1		1			
HM327				1		1			
HM328				1		1			
HM329				1		1			
HM330				1		1			
HM331				1		1			
HM332				1		1			
HM333				1		1			
HM334				1		1			
HM335				1		1			
HM336				1		1			
HM337				1		1			
HM338				1		1			
HM339				1		1			
HM000						1	1		
